Wallet address,total nfts,nfts in wallet for 10 days
erd1gtzm2pfszxh572a7mmphdrhdag84saasvv27etmlqpagxutg60ps0yezqx,50,41
erd1mg3u5fm0d4rquxpr7hxt096507ze4j4xpngfuweynewc9cphgy8q4y972q,32,27
erd1lt6jezu7v6g758j3nyk8urmk32c2ykhytf6y7dcuqw2hyyu5j2qsnuk4n7,25,25
erd1674tfdxhpqzj7pvqz0mvxg9s4fyzhwjtx88s2rwqp9eydpqp955s473yy6,24,24
erd1ewxnfjfkxhn9zpf5cc54v54yvrg6wkjt90pukhra3qv5yafhzclq4un35q,13,12
erd1wz82c49kp3cfsqmk9hy089yf7uysf4dwcnam0t9pe2la0tndqtzsej6erh,11,11
erd1c7lhx7g6w3uuxzs9fcjk05ptzy4cmejuv4z5423kdnckgykhadfszt2k7s,11,10
erd1kqunvggm0qacv4fa6ypj5m364mmhf4wtueeejn7lw0dqdemvc5yshhkp4a,10,10
erd1wk0hcu2ldmr58hspkzx7xvvle7hvlz8q3n0ux8k2tr2qz7kunkms679kcj,10,10
erd1ppwpgntcqqnf4hzhaw4ntlvl0me5h7uwz0a3pchswmm6wkgx0q8ss4ged4,7,6
erd19c2zu5jgfpxlxjzmr9mwsk7v80as44e3q8ywyvu3nhlhm935jpgs7eeffy,8,5
erd1yw4cnj20l0a49wwww2cjawrm9rk55lpkzcw9m52h3emahsun9snsl0xp4d,6,5
erd1yc85l6ljfez62d6zwdv8a8hpcy246tjftjhr3whk2fffkpnnx70svsdhm2,5,5
erd1akgsswj6wxkkdhcdv0emkt4sdl7hzjjs2lknajnr42wgynyz967q9mc362,5,5
erd1la6kfdskluclawcqthpcn4cqxw67fgchawqm6zygwfpzmwqm67eq8kqahj,5,5
erd1pf0f7gva2vuw5dhs79cl80kjde3q4vdnh7ymd434n03udlpgf9qq4h6cqv,5,5
erd1vm0g9f78l7ag6xrxql0nnq8jupnjhsjugxsxgk327h6la37gxp0q9kxpy6,5,5
erd1np3wxmn6vl536xmahpvtcman7mljzg332xx8tpv8gq0k92pus69qhtnygl,5,5
erd1rh5ddjpw7688vez7kcy20apmen326hkf97j4enmmvwx9m20xx9qqjq4qy2,5,4
erd1djaulckxkuqlkcxyx7w90ht23hggkkmf8ttnm93atekn5glhsvmqpns58y,5,4
erd14xuxddjf3f2jcp5x8dv334d0dls6tqamjj8u0q7xpfhza9s5j9uqhrx8z9,4,4
erd103gcm3z4ynm2m98tx7565zjstjc4tgph4r9cvlmp46a06xxme2rq8rtzdx,4,4
erd1k4umqhapvve4d30nv3p7u4dxcyjmzdnly4thkvx7xn82mzufcjqq76vlqm,4,4
erd1d4d3c53g3fwyxa7s8ls2gmnneet50k2xnxnvdqp5ehhm7l384pzs6lh0yy,4,4
erd1al0fd0ek69mqsgu9lkpnspjd0j065qq6qwfug403mtvl2mv0v0jq0sytpk,4,4
erd1rzmh8a9v8ku5483jyztg0e6jtf4fgud5l7unqfn6lcntwcuqphfqxnw2nj,4,3
erd1n4ue6jmgauhh7q32hlda0cpkvhwgpu6guqu6jfc6ljp6gwlxa5ws4k5292,3,3
erd186gazjw8pe4r4844uu4rxp7vg58yaccx9z9xxjztk79rgd0ttdgqwhq05h,3,3
erd1duar0lcwunjtp80wwupjarjgw8yl5pjr6vg960zp5jzuefus7cgsmdpu92,3,3
erd1dphyadnntt2l3fgjfs54ws20u4w3r0ysl5jesyqv35ur00xkj9aqnzvjqp,3,3
erd159mypt4myss3mqrs89ft0hjeacffks2690gq9u3mlh73m9sh0w5s09eqhh,3,3
erd1t37ls0wr5qt9xr5ch94z8rvxq73yegs3q6ue4ws98q008qr3ukps3k7ymj,7,2
erd1lgegrdtsm08cykzpg9tg6shy4r2pz8vh9lpqjupt6unqwk6828es5u9xw2,4,2
erd1gc272d667c2kkp67zvcprt7pk62p9zfmddvlja50g946z5hy0hvse54tjq,3,2
erd18fcevfg9xn05lmjkwd5tu4gdf89rlj9r3zd35955csryfmknyrdqwdaft5,3,2
erd1td288ugy6w0p9hy8gy623yhdwwpplpfum5htwetnf6t4v847z6psyp7tx0,3,2
erd12xde4q9ef7gxk8mt8aj9er8f3qzclef42zxmkzcpp5zxezdpn8us4qqu82,3,2
erd164emu498vllsr2h8f6t52sfc5sds0h58u9ece67zcvnywqnet2qqh3wzvh,3,2
erd17a5twsds6h6spr007nxwr8xhkqmycvflkcyzn6lsnq22h6h2lh4s0g035v,2,2
erd1fgxswe5zqkqglg5qefaq76cf8tnggl6yzfm4lcxh73w5uc9x0rgsn90ufe,2,2
erd1tpkcw2ulkxyws4phhz4rwdzrjv0anm95ndcv9z2gk7dufe7dugcs5ry4q6,2,2
erd1wz6yvu3yqe7fsvw6mryuq5zx8k52ql2yk4j3v75e36dyylkm4r8qpzhx2y,2,2
erd130hlc9kmkacfupjzcr5al7nzqlcry9pusa8t0r7s7jytnhmg3xqsp0t30j,2,2
erd1z0dtxrxm0mcvnfumn39hv99hwmsslugjhpyyd8mww9ps43zc400qk49542,2,2
erd19uj9wf34fjr390nhhhp8yj4rw25ny4n5dmrkzamddxh02xfuyeyqvd6zx7,2,2
erd19jszzg2wk4s7wzhl9la5j0t9j50cv3mr4gcm64t6qtqs658cqllq000xpr,2,2
erd12dtkh4lg6lauc2s43ket94xczl0z7zrw4aa7r9uftvyqzdgrjawqwv33e5,2,2
erd13dpnpnxxh8m0ft6hdl2kymrxlww937vgs8lm9ac4fj079y7mrevsarqc0r,2,2
erd12sqls3qz25vt780lwymf8u025jkszrq47a3uk3f8yv4swqupe9vqnztefv,2,2
erd1dgmn40rf7tuseftsdll4y629mwlm3tvuwq7hm9m9t72h5jr40hnqm8jcam,2,2
erd1vft3k98xjqvyyds39qwspzywlwpfwjsqpqcfc8fl39aygeyylatql9jpd0,2,2
erd1ruuwuskeksqjappv80mtks8trlc4fpye2rwf7zyakk0h80c2laqqqxt9w8,2,2
erd1ra7x4wg7hxnrdd873q39gu4ltgue9sqrn9sgzug89duc6hn49xfstj4pad,2,1
erd16jlrfhmawmae6g333qk59dlza88ahmw0pmqjpg25y5xuzestavms9qhkzd,2,1
erd1us0hha9kk4fpsn9kyatwhen542z6a3lkr5q5mark76y9g0p0t6zq0zercx,2,1
erd1p3f5mnrkhg7d37zn6yfncu7gcvm238nzstk02lgpd98093x46f9qmvt9kw,2,1
erd17dxf0yjt4dkdert632g64xkd3gp47rkmh5tueysy493gsqggr4wstprfjz,2,1
erd1f6emve6hggcthlw3jurgwdqq4ntxd0h2ancmdkg2wtlhhqejyv5qjdwnrs,2,1
erd19t5wgf7p6czpw03gauw68neeqvxp7gpuh650n48hp5phh5j5jvhse9zv8y,1,1
erd1pqm58caaln5296t6cf2rggz78mk42r48z0mhspmzexzf8zgg2qssy29j4x,1,1
erd1khn720h78tdlx7q9e4cdrw36dvewj7gcz2xrse7rfe4l4mfjjsdquxkvh9,1,1
erd173nnxz8nvvscn0z2keuhv892vuj4kz38dml2n8zk4jpzr3ce0xzq6wkm5c,1,1
erd185rvrul963gzrlevs723k47evwzn20kfc3u4tnu8p2pr9pylfg3qywz2sx,1,1
erd1rygcw89f97cacl7hmwvjasdpyy5lxel6dnwadq40c766rytdjurqqklkhh,1,1
erd1mmsfpnyfngtmahdfwh7nhxzfda358fsds80wazmvku5mwx8zg99spxd6t2,1,1
erd1vrfv5xhrmyarhq5gejyn7fwtgsnfdvd2ykdfu3e0hgu5fgzfvvyqxu92m9,1,1
erd1kgjx9yzzwgu73wqqn6n3mf6e0hwrux3fg0adqxqkgxetzl3hncequsjuhg,1,1
erd1yfha3uut9eem2734er47dge2e5tssrstaee5g62yf4sq4l263kjsfwzl8k,1,1
erd1un6padyugvjj54azhusdsane2euu7ypynsep76lsslcn0ustk2vqa5ufxt,1,1
erd14m8k36xdajfqeeqgukxakve3p6k3uwh2gff0m8k37272e66ag76sssylxx,1,1
erd17953vfya7q9zqsy79j209v32vjzegqah6hydnhpeydqjx9wr4gns37n7tk,1,1
erd1hyzpkg32wndenp25hcq7l26dh63t3lce8kr0yze3vg6ggjgwvq5q2h4r8r,1,1
erd1l50t8nzr4mec8qne7cv8hwh3z30tvhr2j3uvjv0g7gg9vjsm9zxsy0y87p,1,1
erd1tsyg6hhyvycmajr4n56xd77xz66ladxxz7cawl44fx5xfa7q63qs7ytufa,1,1
erd1m02syfuk63c3nz00x3z5anwls9lekzavk843kmz0v6m2qgcppwtswez0da,1,1
erd19zdpy0cf40h4krl6eqyktdg8txlracdrap2vwxzgklc3yvm0hdsqm8rq7r,1,1
erd12cr2uduwxa4wqdqk497se9s470sahdf2ffxufe5sd488956w8rmqan67n8,1,1
erd1wukgnww2kanqxwsah4qc4dhfps0kxp4d0rd5w56q8rvzesd79jxqzqn37t,1,1
erd1z0x5rsv9z2q22yu82l2c896elrdncjae2hj932yej4hrcnwj76rqw60sja,1,1
erd1zed02wl5scw97gx0z4ttkcg6kkpfe8yhzctp3c2xdka5jc2qy80q4jwfsf,1,1
erd1enx3gwkd86jr4h8k564tlg804z0tlte8m40aumu7rxapt8lgyvcqxqazk8,1,1
erd1x4advqzuyntmetp2lr5c6jklencp4dtzmr6jxt8azhchcgamx6zqa3jemy,1,1
erd12msh3pt4qmn9epemdp4vhd7uym25swxv2rpjpq3tytpe8m9zfe6sqz39h3,1,1
erd1cw74y0w3w7a59prxfwyfd9x48w8qx6hs8c2l4n4msd87qsu84vzsde7eph,1,1
erd1pn908ptam46e3v6g8wxw6uqja9aapkx3m770x4tu72y4tfnuxcqqszh4jl,1,1
erd173klc982c8xf8ns7end6720mzf6889lgtyv9cxlytp3se4kdgs8qt8h6hu,1,1
erd1me95nt95g5064ps07j9nfsy6nm2dpmwsvywnpw7yysqlwmgfja8q4u7r65,1,1
erd157w24lpyth5hzqr2294h4xe6hsmzdampgplagevasv3k72s7uxlqswp3d2,1,1
erd1ynakksf68s347rys7ux48000q2dqnggpcf8dlhnautxzupcazr9q3889tz,1,1
erd1mqcf3yw8ugr9mstsww70uu33sx07kd797ggfclg6qu3gwx4vdh5q2lnart,1,1
erd1j9rt82zsu9pjzksvya8mq8gqpxnv687jmqymszf9mz3mvef8yawquwggtd,1,1
erd1cea86fk3medytxeyhvwcpx2xtp0j5g8g8snsrnjppphaa9v8ccgqj95gst,1,1
erd1wrk26s0uc20m6qmp0z8qangy78a4558c47xj4yyugtwhj2t074kqs8lu27,1,1
erd1nzakwv0mscx7hrj8n28a5v6sux53gumcctc78pgqcjjqupqr0a0s903qak,1,1
erd1x6a7r7dvayl7597j70u4k4as693k2kf6rtptdgqxul6fsgmg9mtqajfqmy,1,1
erd1zyyv6tmslqh3jsd3qvuxtngc5x76etrwrdrdhr96nmdfyvk9vr3qf40q6l,1,1
erd16360egkntskjuww6ycx6r0tarp7e9mrld74fzvt7sjnn3a4f0hes7qkm2l,1,1
erd1yqsh4v3yutv9ckg6wvgu9cltnzcrqyrhxhf0ac6j4fjrwchgqjcspmv3hx,1,1
erd1gc8p4tktyh6yx2ahcf79g6g0gdk7ngmggsvs9w549y7zg8u2807sevffez,1,1
erd1kkwagham8m3al8apqcd2hhyswwhuha56uclmsn6t9fh7j5ypdh0s67yyxh,1,1
erd15rha57eqpc29ur5fdfxgt5pe554r3xwtay80pjfgutk660lsypqs6lcpml,1,1
erd187wcdv6gpx9pvmkt6dztdvgffggdzm34supt05rxkf9ql3jwdtsskvqj7t,11,0
erd1d8caexkzyedz8dvd2t7ulutmry9a70wvez54pd8knl324g8rdncqjrw250,11,0
erd1x2ahw3yka7ppl6vnva57jplq62f4jsxp24grtkzwxt3t77pntkpq687vyr,8,0
erd1qw4qh64mpyx50xvmnfscj4ntczmn5q52tna6j4p9ar8qka7cl5aq6ckdh0,6,0
erd1n7men9ylg2ahcl8tkm0pgy8klye752tqxs888d82mzztm46c3cks7r9tt4,5,0
erd1qhh62ssgepjtdspeeqsz0hyzunada7lz5q52v9dpdet3d0utjqysd8wp9w,5,0
erd1kt7dgum69fjatke30rnzjr62avwwh4gh4qcwm7u4qx82mps9xews3j467s,3,0
erd1jqgs20qvfc8f7cvpzupavtdny3clmmepx5zkcyg3apl59j4rlt7s7u2wrr,2,0
erd15djdm8359n9ux43mxereqldn97vph7cvx6mwcsj869r50lgj7j7qjtg6mt,2,0
erd1mcal957jame95m0j4fm3d2lvjdude8tm5tfaz4mdzj9f7hpm74mqxlh9d8,2,0
erd1f5lkzr9vmrz9yazq39vtewch7kkyg38508phwgcqqt8lz2ya4r2svv3ehu,2,0
erd1md7z70nhkjfp4mx7grj74l4daysltwkezyce6zk2c3y0pgkyk2as87zprv,1,0
erd179r7dafw5vpszujf4dvfsuj373heq2a4pzrfy8z90p5akyy3zscsz3qwdu,1,0
erd10rnzufususrnp3vgqkrn2yw8shpg37jmyr4lrath9rl8a33d8e6q5slp2z,1,0
erd19uj928dyfa8seflq0wjkuk6evmfgcmecarqek86kuuq0yt3t90cq22mfkk,1,0
erd18dt6zhzaandq7h9ygag46gm6gwss2c9a4s06tsr3rru92umdeyyqy9afjn,1,0
erd1efv3v8ncuyn47y7fyhy08ed40cenr8tmluwed8c2w0zakh2t6prsqr26he,1,0
erd133d7rktjwneusn7naxd8d8zhmucvyjt0ax9gs53ye6yqxhkssveszye4k7,1,0
erd1amak5g7gg2htspng4gwh2797l0rt25pjfj3neans96tt7cgvkwqs7w8kdv,1,0
erd1w97hs27ederkc86wazkhx9y3t3s9ltyrjmecxjwm8eqxtrxm7s7ssgxary,1,0
erd1gsqegzjref54nv4hzjn9zhyze0g8us0tvm7fd5ph5z9z3tuqhzcq6g3503,1,0
erd1770jpvxsdctegqf45gzct0vljlxezu4jmdsjr922afxdkhrz25gqv9qcsw,1,0
erd1kvn4872k9a6evss6zf8d6z62rvtqqylwq8sckx2yv5drkc3mf0lq6zdnnq,1,0
erd1epacuwydsl4tx9de90ma6dwtck4jf7sr4pjr806fngf36xahm7gqfsd0zt,1,0
erd1085h6wdckzfkvfftq837mwt2a780dv0p8wcjjpauku7at0dlqswszewvjn,1,0
erd1v3m9rs8s99yfes0gm7gytevhfz27w0jkag54zr9hx853se74sqeqz2m622,1,0
erd1hs80eda7y4fn7r6zpe9fqlgk9esq4qw6k74emasvhqs8phcxpugsafxmwn,1,0
erd1lhue6uhkxerdzlyfwwhyfd5kwgxr56xhgyz5fz2rmsum9pd8386q7770nt,1,0
erd1f25nxfn68eslmp2hz956g3nlq39uqzktxlhmcjx5zvqnk50cjagqwj7ddj,1,0
erd1flpng88pfv50vglwqdx33fqdyq5mq532w0ejuf8xw4y56hmzg53sz2ej7g,1,0
erd16n7ucerg4cz4quwqnuw4hnuu622p43zkpra2q7gxpg2gyr80jhjqnwp9lf,1,0
erd15mwnmycaqtwcq0mjus2wffnye0j05t8eakl4m00m5gd8urhuxa8qwt267v,1,0
erd1qnxxamh5qfz2d69g33rxg85j9fqqra359ucaszzajn7737n2lp2q46krhj,1,0
erd1le40ausgymvfadl9ec8z9vnrcxtwzrh6g5mu50mpt6z60nfsmd6q8cx4vq,1,0
erd1z4dfk7u5vrdgraa338kujy43ukuu5t86v30dd8lrc66ynm6eqlws8suf5u,1,0
erd19x049nslzkdmart4fyvmuey62alhvyh8runt8c9pvkuw4ttgladscfn9m6,1,0
erd182sqm25827khantdvzdqm56zwxgzd3ta9rmgxlydv5dxm8jkwghq5wvqlp,1,0
erd1lunzrxxyk83rxja8hfmpqu07lkw28e3ear04fhpt4j79rdytywyqmrn0cm,1,0
erd10rqwc3s65wvwfp39t9x3wt83727fnf87t9292wx0glmump0uyl3sdped4w,1,0
erd1zm4p25xdljvr537na8hq4dw5g7lc2pe7hcx0gcjk6fcengjsqczs7eypy7,1,0
erd15gaxx4zlwfq6zlzyuxnnmj9mntd8ee3ght8hl9yzvklypyxv3yrqdp8m7z,1,0
erd1mnz854g0wkmh2fly742lk9vdjvncxmx2fpjgqjqqh3fvnfwh3ptsfu0444,1,0
erd136unnt0dtpezfjpuc77xhv3qrlaw46mlzx69m0xsq2p3dwrgt8gqr2utke,1,0
erd10c3y3l9wuaaqs9vte3vr29j9nr7dslagzh34afkj3mywu64x96dq3nhahf,1,0
erd1mx8x0xn53ye0ry5hjqzhzpt6d0weqmjwa4efc30r7vn9ksyrlugsevy6eu,1,0
erd1r6fhkgq3ghzp0dy2qr4wum29wmqx92y0kqkjkjl204adjxz6ee6qcyftwa,1,0
erd12trkcec0nscrmr6z9gweral6yrdmdmye40jcd3ceykj74r8d9ncs9n58sw,1,0
erd1kxjngrv472qdcwh4ft238ey3zjj29awre5hlx9z7a8v096r4pq7sku4h7z,1,0
erd1q2ztm2dl7lmqvafyntnyefhnar3pa8uewc7y4xkuznzw84afatjq6tkfp4,1,0
erd1pn7qyef22ecq898pes7hdg8ck76fz2cvxyqdklkx5psaz03swg0q6pzylh,1,0
erd1thdvfjre990ksl684lykjp79wn5lf75agnphsy3wnpp024nd2easacgn0s,1,0
erd18u5q68usq0zfp9x0wnf9x09muydtvd509dpcxw5ptvk4ka7a326qnwhtyp,1,0
erd1la6r0xgzmvpjgstg4t0780yyg3304l5gaf58emdeer4ecfayt0fql6587k,1,0
erd1ly2ztms3f0dr90z32cwzzhxgdfzjg9k5g3m3yzt4mvmt6aegxrdsa7rru3,1,0
erd1dyunalwaquqr7pzewfwy43ycght4s67x6n6k9kt5fzsl80fn5a2qx7ws63,1,0
erd1vyts9yz6tgrs8htn4fs48cdla57lwfuraj454xkmc6yu0c4x6yss88n3tl,1,0
erd1yxts4a9ck72kpnw9969p2vuvvzqczatrkzrp2ryrr3jydheaycps5z2jsg,1,0
erd1ve7lemy2mcldv84r6wng8umrkq5mw5twzc4r58qsfrn5v2hgny5s3nzpmc,1,0
erd10ur7jvm369nrwdlqrufleu4z6k2u2vj07tg0dw6gsf76tpzjlqwsslypzr,1,0
erd1qwxacqlytzrq9y86ancflg82wgcqdtvnqqflfad40v4mkjhz4s2qx7lnjn,1,0
erd1fefvg0jeqpn5xdm4ersdxh9fqc7vzgjytda38tqyu5krs3uv3l3q74lswx,1,0
erd15ld4z9armk2pq7y9x65y60klpstur34rl38kfdmdz2s643e9k49sfpzugd,1,0
erd1allqvsjw0k2fvnx47sntmknkea7r4uutu4yqae7vjzaj0henn6kscdls9e,1,0
erd1cyscet6gtmv7ufsumgs6ua73lwcsvpnqyphp6025htm6le4t26dqmwwphe,1,0
erd1jge2r79mtazyp5vuu8xqyr7k8u8r4mm3v3rv9947ekytc08rkzesjsk2h9,1,0
erd1wpcpl0dfqync8n7pvx7ua3uvh7y6hr93awarxwmvw5vq5hsnasssc6al83,1,0
erd1wpayuskf3v5ktpwfh2nwzs9vzy2rgwa0d7gr7mrtgtl2gxcmvlwq5nwwkz,1,0
erd1dtcf5xnas69vv9udp7lxnkwxs6la2k4a6pfxn5xlvwtlcdpdzymqj54f4n,1,0
erd1hw7g9hp7nhwxgq0xv4zg5qm4partgvj3zja4xx27zvndk50ffmjq8p27fc,1,0
erd1jstu6smj8ka7mk0e3qmlcxh6pxtasjxy4ksfes43t8yy9zhspwequyxw6r,1,0
erd1793cv85hsjn8xs9y6qcgqlx98q3s0gx3gwufpgstv9k06l73m3wqdh9jvd,1,0
erd1e004fgd6uanv6h7zt4ma7d80vgwkw929zsqsxjqu8h9qtyqplrpsjc09ha,1,0
erd12rajusd5amuea8pepulgdzxrzva2z0gtrswtmrn3cjagqn63hewsytxcy2,1,0
erd1jsj9zp23x6nym5ahm4hg6qs88rgeksqfuleayjjr9cg4u2jtrtas32j449,1,0
erd1txprreyduvczs2r37q0lfk30ujum6z7klcdh56cplk3aqyr4qmkspxz2qa,1,0
erd1p2wk8qm24d43gu27v662efs97rp62p24r8jryyexejdstp0fpe6qut5uh2,1,0
erd10d6wejvyxgretmxgjqa225xez475t4na79c7dxyesyq23dhvxqdsrcusdg,1,0
erd17fzy3660z9qxtjltel3ujqcw7whcm58s72h72m86yv65l5u5vghspkznvn,1,0
erd1e7dn3a0lhgmm7877ds0qpdtxgrrar8ttcp2vhzz8ux4h2az5nsmqdxx30x,1,0
erd10j36y7sj0enl5mynss2eu334vr5hxsmtr60lrt99zqckzq0kjagq873qhn,1,0
erd184hecgaxyp00c2r2pfhdvaewtg2ds0fgz68t3zu045ug7d85ka6s9mazjm,1,0
erd1qlpvlv452j0utw23jpfg3mh3dqutvccp5tpxnvxmylvn2x0vawzq3jnf6w,1,0
erd1tsx3z7u3sdf54srmh3x4n38jcjyh5ad6gu6u262g8rfnf8y6gfds0aw9tu,1,0
erd1vzh64fvgtl6ung23ltmngt6ygs7g2sfvea0spt6845nzlg3prmnsxke56j,1,0
erd1y7j3ckltxqfqklcyhvx47gjnzwnaqsupvf84pr70d5xt49m0chnqcl3cty,1,0
erd16tk3ytac8whu3gzeg5ys8972yzsdyswd8gj46shme06vw0xqjxkq5skuch,1,0
erd1k0yxmkrs6x9urk27nljvag3mttfds59p7l37ua7lpf753v59m5wsq2855f,1,0
erd17llhqn8pkrgfcff6rtp2sp4z7r3haw2jr92qhgmtelyz7d2yv93qzamlt2,1,0
erd108ngcl8ph34duz347cds3a26lypxme8a8p9xen5dfms4djqjrcxsy9y5rd,1,0
erd1937jxutjfvykuy360my50lqvhuslru5l6crvcvpcyx93mcy05gyqfnk4hu,1,0
erd1qfdz894qnp9g08zheklmeedacmg74lp2s4ajye9q2ypxz2uuxx2quyw7j2,1,0
erd1wcwuhqcg2pn4n6tderd9wp3946npvcyrp4utv5aktsf9v8vtv7sq3fk2xf,1,0
erd1uqfrre8j8tlgnzjzkgyzty8hgwlh48pesvrn5q6p9emlh9p9zlgq4re67d,1,0
erd1jjky8zvs4v7323wxc0dukp7rc7vz0ycr0lfa04sl2flgdd4e3nrsj0wlve,1,0
erd1a9csye0xnmcg2m33s8d6vxm6y9yeaz8w86c8xn8scmlgu3ec6r8shuslql,1,0
erd1d2ky9zw6ckjlxs7utynnxlrwrqu9a40tjlhaexpaqcgghk3y9cgsfa5ce0,1,0
erd1gaj9frrp773zarqeyvetk2wgjqywas40qkmavk93whrrvuf4cgksel40re,1,0
erd16rln4hmsh98mwchr09pn6axcn4uqdjqhnlkdr87adydxg9tc20aq20rsj3,1,0
erd16uvz0wga9fc8jhy7y9cw5gzk9sjgdq7n4hkezcd2g5w9gh6gplwqgevw3y,1,0
erd1ntev2zzsz2vlk5dhajgrm2ge3zac6rqvtslplczmwva8n95hffcq62lldv,1,0
erd1y2xep03xyjqruygq7fr3vfm2jpx9cg2w9zfjdx7fsr5fnpt0zekqu6f7z9,1,0
erd1k6lvjlrzszkzckksahstqph6a3j096tfz7g4wr8786vhpeh2ngdqcut5c3,1,0
erd1gnrvkvqrl43z87yhuca0tetf9aa7eenn0xqqzt4lr9zt63v9l8eqx4h9pp,1,0
erd1ncfucphf2wrzspntv9enld5rxgnn6ter843x7h67fvsj7tez0qkq3kk8f3,1,0
erd1q3teyfyd257n3wg3784z77t0300g7nl7a2zpv2vjrvdw7c2x8u3qpk6yp5,1,0
erd1lpdy7wy2zq0t524kj7chvp5c5v3s0nk8c7hem9rhmm4glus9lk0qnqar8q,1,0
erd17l5xutjhlejmrf67fpkwcmj52rn8a8xkwn8njh7lr35a59mxt4dqzueu2h,1,0
erd1n62tskaf4pfj03wupukj740uktkleyak0n8c8vr0l3hyavnh6x4s3d4zft,1,0
erd1p7qac7k458qq5mka2yph3y24fn8e0yl0khw528yesq7ws2fy6hlqldvstg,1,0
erd12n736rftc5pluqyfuvnl460let2rz7znq0yskvdem8vvprrwu8dsfzpzv3,1,0
erd1qh4lut8fvdyay6h26yks657p6y3cejhdk77jjna6sffmzthwtzfsdvwprm,1,0
erd1cck5mf6rfkyczsp3zzse94vfp25t00tzyx29p7lsjn7fv6j43fkskmndqm,1,0
erd1frufdkl50m62jwr6ke62hnlvz4nglsx9v8k6tvd8vullxd7ayr8ssrcnta,1,0
erd108kkxgw3cu0ekst5xqv38f6lqhat0cnzzz8jqatz0g2tk92luawsm0vkh8,1,0
erd1g4jjuwlnx5wzcqjngkm8hp0a8nlg9qcpt6fw37gcuae4ha97kxpsl72ml3,1,0
erd1gtgrcf4u8w0uyn5wdqrysx39c3v2x378geeu9ujur5lr4jta0uxqz4astx,1,0
erd1jr9t2u0t2v2lq4u2cgmt2w4uqtm7zg00t6eu00m8gpdchptan6hqcmk0wg,1,0
erd1vhqul4766w5wcd66cd0yw9p0z0g9qdwenrkkjugdp2ufh49ll2cqj4gk8f,1,0
erd1tyycyldmcckka6qyjdgpnl5huj6uqrala3fxt2ncv7s2csuvgmkqj9mmpa,1,0
erd1sxfx4fmad3yl9yc8mxgtleyqzl0slpvq8h3faz358tntdxnh0t7qd6d5gy,1,0
erd1edu0esw3x8h4xy6k698g5vv60r3qf0dvezzqtt4224hkeamszt5sy6ewfs,1,0
erd1twgh60gzhwvsycczl4cz4kfzrm6uwrk33mlp83y04anm9qu95eese8evqw,1,0
erd1w50ydhxtlplfttktj2pppfjujfd4ehvncptdrpudhjp2evmmx3hqaedpy9,1,0
erd1nfvmtqmzajd0yur9wynujg5a3qukvuku3a53h9hr77w6thvgw5vsfpq8qh,1,0
erd1r08rkes2ydrka8d5ynaj0qqyjxcjhd6y9n2e0vu5mcymqapj42hqsan3ex,1,0
erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,1,0
erd1qfl5afvku8qy6kp5cwfqm8jrf8xjzav5te7ms5fn5rakqnqfzlxsdf0jgl,1,0
erd1wnr33t9a3k23yz9nq49sy9j3s3qvk08ygmvzd3969qv2wdz6nsdsnpaqlr,1,0
erd1d20z58pd2vt6gwsp5tymnqnlfeemzdvsxn6makmr9lkfeedvpd4skazmnt,1,0
erd16w90cr5fllz2dcjl5mffy0jpay6fnvq3tntxect697tun6f56uqsjqt29p,1,0
